simulation_id,sensor_id,sensor_x,sensor_y,sensor_noise,sensor_is_fault,RH,wind_type,wind_speed,stability_value,aerosol_type,source_x,source_y,source_h,emission_rate,real_concentration,wind_dir_cos,wind_dir_sin
0,0,469.0,276.0,0.0003,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,1,464.0,278.0,0.0004,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,2,91.0,266.0,0.0,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,3,494.0,484.0,0.0002,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,4,335.0,435.0,0.0002,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,5,239.0,28.0,0.0003,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,6,394.0,489.0,0.0004,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,7,491.0,147.0,0.0004,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,8,244.0,206.0,0.0001,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
0,9,86.0,308.0,0.0002,False,0.0,0,4.11,3,4,399.0,202.0,9.77,0.0043,sim_0_conc_real_2025-09-08.npy,1.0,0.0
1,0,132.0,47.0,0.0003,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,1,191.0,14.0,0.0004,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,2,128.0,123.0,0.0005,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,3,330.0,269.0,0.0005,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,4,306.0,161.0,0.0003,True,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,5,264.0,366.0,0.0003,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,6,347.0,121.0,0.0005,True,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,7,376.0,9.0,0.0004,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
1,8,336.0,338.0,0.0003,False,0.0,2,7.32,2,6,194.0,241.0,2.42,0.0085,sim_1_conc_real_2025-09-08.npy,0.7816866403466525,-0.0077043592849290205
